,年份,地块名,季节,作物名,种植面积
0,2024,A1,1,黄豆,24.6
1,2024,A1,1,黑豆,43.7
2,2024,A1,1,南瓜,11.7
3,2024,A2,1,小麦,55.0
4,2024,A3,1,绿豆,35.0
5,2024,A4,1,黄豆,72.0
6,2024,A5,1,黄豆,68.0
7,2024,A6,1,黄豆,38.0
8,2024,A6,1,高粱,17.0
9,2024,B1,1,黄豆,22.0
10,2024,B1,1,小麦,38.0
11,2024,B2,1,黄豆,22.9
12,2024,B2,1,玉米,23.1
13,2024,B3,1,黄豆,40.0
14,2024,B4,1,绿豆,0.5
15,2024,B4,1,小麦,10.3
16,2024,B4,1,红薯,17.1
17,2024,B5,1,小麦,25.0
18,2024,B6,1,绿豆,50.0
19,2024,B6,1,玉米,25.2
20,2024,B6,1,黍子,10.8
21,2024,B7,1,红豆,35.0
22,2024,B7,1,谷子,20.0
23,2024,B8,1,绿豆,12.5
24,2024,B8,1,高粱,31.5
25,2024,B9,1,玉米,50.0
26,2024,B10,1,谷子,25.0
27,2024,B11,1,红豆,18.6
28,2024,B11,1,玉米,41.4
29,2024,B12,1,黄豆,14.3
30,2024,B12,1,小麦,30.7
31,2024,B13,1,小麦,35.0
32,2024,B14,1,谷子,20.0
33,2024,C1,1,小麦,15.0
34,2024,C2,1,黄豆,13.0
35,2024,C3,1,黍子,15.0
36,2024,C4,1,谷子,3.0
37,2024,C4,1,荞麦,15.0
38,2024,C5,1,爬豆,26.3
39,2024,C5,1,高粱,0.7
40,2024,C6,1,红豆,5.6
41,2024,C6,1,小麦,14.4
42,2024,D1,2,白萝卜,15.0
43,2024,D2,1,豇豆,0.4
44,2024,D2,1,刀豆,0.4
45,2024,D2,1,芸豆,0.4
46,2024,D2,1,西红柿,0.4
47,2024,D2,1,茄子,0.4
48,2024,D2,1,青椒,0.4
49,2024,D2,1,菜花,0.4
50,2024,D2,1,包菜,0.4
51,2024,D2,1,油麦菜,0.4
52,2024,D2,1,小青菜,0.4
53,2024,D2,1,黄瓜,0.4
54,2024,D2,1,辣椒,0.4
55,2024,D2,1,芹菜,0.4
56,2024,D2,2,大白菜,5.4
57,2024,D3,1,水稻,1.4
58,2024,D3,1,豇豆,0.1
59,2024,D3,1,刀豆,0.1
60,2024,D3,1,芸豆,0.8
61,2024,D3,1,西红柿,0.1
62,2024,D3,1,茄子,0.1
63,2024,D3,1,青椒,0.1
64,2024,D3,1,菜花,0.1
65,2024,D3,1,包菜,0.1
66,2024,D3,1,油麦菜,0.1
67,2024,D3,1,小青菜,0.1
68,2024,D3,1,黄瓜,0.1
69,2024,D3,1,辣椒,0.1
70,2024,D3,1,芹菜,0.1
71,2024,D3,2,白萝卜,10.0
72,2024,D4,1,水稻,6.0
73,2024,D5,2,红萝卜,10.0
74,2024,D6,1,水稻,9.0
75,2024,D6,1,豇豆,0.2
76,2024,D6,1,刀豆,0.2
77,2024,D6,1,芸豆,0.2
78,2024,D6,1,西红柿,0.2
79,2024,D6,1,茄子,0.2
80,2024,D6,1,青椒,0.2
81,2024,D6,1,菜花,0.2
82,2024,D6,1,包菜,0.2
83,2024,D6,1,油麦菜,0.2
84,2024,D6,1,小青菜,0.2
85,2024,D6,1,黄瓜,0.2
86,2024,D6,1,辣椒,0.2
87,2024,D6,1,芹菜,0.2
88,2024,D7,2,大白菜,20.0
89,2024,D7,2,红萝卜,2.0
90,2024,D8,1,芸豆,0.4
91,2024,D8,1,土豆,15.0
92,2024,D8,2,大白菜,4.6
93,2024,E1,2,羊肚菌,0.6
94,2024,E2,1,芸豆,0.3
95,2024,E2,2,白灵菇,0.0
96,2024,E2,2,羊肚菌,0.3
97,2024,E3,2,榆黄菇,0.6
98,2024,E4,1,芸豆,0.3
99,2024,E4,2,白灵菇,0.3
100,2024,E5,2,白灵菇,0.6
101,2024,E6,1,芸豆,0.0
102,2024,E6,2,榆黄菇,0.6
103,2024,E6,2,羊肚菌,0.0
104,2024,E7,1,芸豆,0.6
105,2024,E7,2,羊肚菌,0.0
106,2024,E8,1,芸豆,0.0
107,2024,E8,2,羊肚菌,0.6
108,2024,E9,1,芸豆,0.0
109,2024,E9,2,羊肚菌,0.6
110,2024,E10,2,榆黄菇,0.6
111,2024,E11,2,羊肚菌,0.6
112,2024,E12,1,芸豆,0.0
113,2024,E12,2,白灵菇,0.6
114,2024,E13,1,芸豆,0.0
115,2024,E13,2,羊肚菌,0.6
116,2024,E14,1,芸豆,0.3
117,2024,E14,2,羊肚菌,0.3
118,2024,E15,1,芸豆,0.0
119,2024,E15,2,香菇,0.3
120,2024,E15,2,白灵菇,0.3
121,2024,E16,2,羊肚菌,0.6
122,2024,F1,2,豇豆,0.6
123,2024,F2,2,豇豆,0.3
124,2024,F2,2,黄瓜,0.3
125,2024,F3,2,豇豆,0.1
126,2024,F3,2,茄子,0.5
127,2024,F3,2,黄瓜,0.1
128,2024,F4,2,黄瓜,0.6
129,2025,A1,1,黄豆,11.7
130,2025,A1,1,玉米,51.9
131,2025,A1,1,红薯,16.4
132,2025,A2,1,黄豆,55.0
133,2025,A3,1,黍子,23.3
134,2025,A3,1,南瓜,11.7
135,2025,A4,1,小麦,69.7
136,2025,A4,1,玉米,2.3
137,2025,A5,1,小麦,68.0
138,2025,A6,1,黄豆,17.0
139,2025,A6,1,玉米,38.0
140,2025,B1,1,绿豆,38.0
141,2025,B1,1,谷子,22.0
142,2025,B2,1,黄豆,23.1
143,2025,B2,1,小麦,22.9
144,2025,B3,1,谷子,40.0
145,2025,B4,1,黑豆,27.5
146,2025,B4,1,黍子,0.5
147,2025,B5,1,黄豆,25.0
148,2025,B6,1,黄豆,7.6
149,2025,B6,1,绿豆,28.4
150,2025,B6,1,高粱,50.0
151,2025,B7,1,红豆,20.0
152,2025,B7,1,谷子,35.0
153,2025,B8,1,黄豆,31.5
154,2025,B8,1,谷子,12.5
155,2025,B9,1,红豆,25.0
156,2025,B9,1,爬豆,25.0
157,2025,B10,1,黄豆,25.0
158,2025,B11,1,黄豆,41.4
159,2025,B11,1,谷子,18.6
160,2025,B12,1,黄豆,16.7
161,2025,B12,1,红豆,14.0
162,2025,B12,1,荞麦,14.3
163,2025,B13,1,黄豆,17.1
164,2025,B13,1,黑豆,17.9
165,2025,B14,1,绿豆,20.0
166,2025,B14,1,南瓜,0.0
167,2025,C1,1,黄豆,15.0
168,2025,C2,1,玉米,13.0
169,2025,C3,1,黄豆,15.0
170,2025,C4,1,黄豆,18.0
171,2025,C5,1,黑豆,0.7
172,2025,C5,1,玉米,26.3
173,2025,C6,1,绿豆,14.4
174,2025,C6,1,玉米,5.6
175,2025,D1,1,芸豆,15.0
176,2025,D2,1,豇豆,0.1
177,2025,D2,1,刀豆,0.1
178,2025,D2,1,芸豆,8.7
179,2025,D2,1,西红柿,0.1
180,2025,D2,1,茄子,0.1
181,2025,D2,1,青椒,0.1
182,2025,D2,1,菜花,0.1
183,2025,D2,1,包菜,0.1
184,2025,D2,1,油麦菜,0.1
185,2025,D2,1,小青菜,0.1
186,2025,D2,1,黄瓜,0.1
187,2025,D2,1,辣椒,0.1
188,2025,D2,1,芹菜,0.1
189,2025,D3,1,豇豆,0.1
190,2025,D3,1,刀豆,0.1
191,2025,D3,1,芸豆,12.7
192,2025,D3,1,西红柿,0.1
193,2025,D3,1,茄子,0.1
194,2025,D3,1,青椒,0.1
195,2025,D3,1,菜花,0.1
196,2025,D3,1,包菜,0.1
197,2025,D3,1,油麦菜,0.1
198,2025,D3,1,小青菜,0.1
199,2025,D3,1,黄瓜,0.1
200,2025,D3,1,辣椒,0.1
201,2025,D3,1,芹菜,0.1
202,2025,D4,1,芸豆,6.0
203,2025,D5,1,芸豆,10.0
204,2025,D6,1,豇豆,0.1
205,2025,D6,1,刀豆,0.1
206,2025,D6,1,芸豆,11.2
207,2025,D6,1,西红柿,0.1
208,2025,D6,1,茄子,0.1
209,2025,D6,1,青椒,0.1
210,2025,D6,1,菜花,0.1
211,2025,D6,1,包菜,0.1
212,2025,D6,1,油麦菜,0.1
213,2025,D6,1,小青菜,0.1
214,2025,D6,1,黄瓜,0.1
215,2025,D6,1,辣椒,0.1
216,2025,D6,1,芹菜,0.1
217,2025,D7,1,芸豆,22.0
218,2025,D8,1,豇豆,0.0
219,2025,D8,1,刀豆,0.0
220,2025,D8,1,芸豆,19.5
221,2025,D8,1,西红柿,0.0
222,2025,D8,1,茄子,0.0
223,2025,D8,1,青椒,0.0
224,2025,D8,1,菜花,0.0
225,2025,D8,1,包菜,0.0
226,2025,D8,1,油麦菜,0.0
227,2025,D8,1,小青菜,0.0
228,2025,D8,1,黄瓜,0.0
229,2025,D8,1,辣椒,0.0
230,2025,D8,1,芹菜,0.0
231,2025,E1,1,芸豆,0.6
232,2025,E2,1,芸豆,0.3
233,2025,E2,2,榆黄菇,0.3
234,2025,E3,1,芸豆,0.6
235,2025,E4,1,芸豆,0.3
236,2025,E4,2,榆黄菇,0.3
237,2025,E5,1,芸豆,0.6
238,2025,E6,1,芸豆,0.6
239,2025,E7,1,芸豆,0.0
240,2025,E7,2,榆黄菇,0.6
241,2025,E8,1,芸豆,0.6
242,2025,E8,2,榆黄菇,0.0
243,2025,E9,1,芸豆,0.6
244,2025,E9,2,榆黄菇,0.0
245,2025,E10,1,芸豆,0.6
246,2025,E11,1,芸豆,0.6
247,2025,E12,1,芸豆,0.6
248,2025,E12,2,榆黄菇,0.0
249,2025,E13,1,芸豆,0.6
250,2025,E13,2,榆黄菇,0.0
251,2025,E14,1,芸豆,0.3
252,2025,E14,2,榆黄菇,0.3
253,2025,E15,1,芸豆,0.6
254,2025,E15,2,榆黄菇,0.0
255,2025,E16,1,芸豆,0.6
256,2025,F1,2,黄瓜,0.6
257,2025,F2,2,豇豆,0.3
258,2025,F2,2,黄瓜,0.3
259,2025,F3,2,豇豆,0.5
260,2025,F3,2,黄瓜,0.1
261,2025,F4,2,豇豆,0.6
262,2026,A1,1,黑豆,38.0
263,2026,A1,1,爬豆,23.8
264,2026,A1,1,玉米,7.3
265,2026,A1,1,高粱,10.9
266,2026,A2,1,谷子,2.6
267,2026,A2,1,莜麦,33.3
268,2026,A2,1,大麦,19.0
269,2026,A3,1,黄豆,35.0
270,2026,A4,1,黄豆,48.2
271,2026,A4,1,黍子,23.8
272,2026,A5,1,黄豆,22.8
273,2026,A5,1,红豆,45.2
274,2026,A6,1,小麦,55.0
275,2026,B1,1,玉米,46.5
276,2026,B1,1,谷子,13.5
277,2026,B2,1,小麦,23.1
278,2026,B2,1,谷子,22.9
279,2026,B3,1,小麦,31.0
280,2026,B3,1,玉米,9.0
281,2026,B4,1,小麦,28.0
282,2026,B5,1,玉米,25.0
283,2026,B6,1,黑豆,6.0
284,2026,B6,1,绿豆,44.0
285,2026,B6,1,谷子,21.7
286,2026,B6,1,荞麦,14.3
287,2026,B7,1,绿豆,35.0
288,2026,B7,1,南瓜,2.8
289,2026,B7,1,红薯,17.1
290,2026,B8,1,黄豆,12.5
291,2026,B8,1,玉米,31.5
292,2026,B9,1,红豆,11.4
293,2026,B9,1,高粱,38.6
294,2026,B10,1,绿豆,2.9
295,2026,B10,1,小麦,22.1
296,2026,B11,1,小麦,18.6
297,2026,B11,1,谷子,41.4
298,2026,B12,1,谷子,45.0
299,2026,B13,1,绿豆,18.1
300,2026,B13,1,谷子,7.4
301,2026,B13,1,南瓜,9.5
302,2026,B14,1,玉米,20.0
303,2026,C1,1,谷子,15.0
304,2026,C2,1,小麦,13.0
305,2026,C3,1,小麦,15.0
306,2026,C4,1,红豆,0.0
307,2026,C4,1,小麦,18.0
308,2026,C5,1,黄豆,26.3
309,2026,C5,1,小麦,0.7
310,2026,C6,1,谷子,20.0
311,2026,D1,2,白萝卜,15.0
312,2026,D2,1,豇豆,0.4
313,2026,D2,1,刀豆,0.4
314,2026,D2,1,芸豆,0.4
315,2026,D2,1,西红柿,0.4
316,2026,D2,1,茄子,0.4
317,2026,D2,1,青椒,0.4
318,2026,D2,1,菜花,0.4
319,2026,D2,1,包菜,0.4
320,2026,D2,1,油麦菜,0.4
321,2026,D2,1,小青菜,0.4
322,2026,D2,1,黄瓜,0.4
323,2026,D2,1,辣椒,0.4
324,2026,D2,1,芹菜,0.4
325,2026,D2,2,红萝卜,5.4
326,2026,D3,1,豇豆,0.4
327,2026,D3,1,刀豆,0.4
328,2026,D3,1,芸豆,0.4
329,2026,D3,1,土豆,2.6
330,2026,D3,1,西红柿,0.4
331,2026,D3,1,茄子,0.4
332,2026,D3,1,青椒,0.4
333,2026,D3,1,菜花,0.4
334,2026,D3,1,包菜,0.4
335,2026,D3,1,油麦菜,0.4
336,2026,D3,1,小青菜,0.4
337,2026,D3,1,黄瓜,0.4
338,2026,D3,1,辣椒,0.4
339,2026,D3,1,芹菜,0.4
340,2026,D3,2,红萝卜,6.6
341,2026,D4,2,白萝卜,6.0
342,2026,D5,2,大白菜,10.0
343,2026,D6,2,大白菜,12.0
344,2026,D7,1,水稻,17.6
345,2026,D7,2,大白菜,0.4
346,2026,D7,2,白萝卜,4.0
347,2026,D8,1,土豆,12.4
348,2026,D8,2,大白菜,7.6
349,2026,E1,2,榆黄菇,0.6
350,2026,E1,2,香菇,0.0
351,2026,E2,1,芸豆,0.0
352,2026,E2,2,白灵菇,0.6
353,2026,E3,2,羊肚菌,0.6
354,2026,E4,1,芸豆,0.3
355,2026,E4,2,羊肚菌,0.3
356,2026,E5,2,白灵菇,0.6
357,2026,E6,2,羊肚菌,0.6
358,2026,E7,2,羊肚菌,0.6
359,2026,E8,2,榆黄菇,0.3
360,2026,E8,2,香菇,0.3
361,2026,E9,1,芸豆,0.0
362,2026,E9,2,榆黄菇,0.3
363,2026,E9,2,羊肚菌,0.3
364,2026,E10,2,羊肚菌,0.6
365,2026,E11,2,香菇,0.6
366,2026,E12,1,芸豆,0.0
367,2026,E12,2,榆黄菇,0.3
368,2026,E12,2,香菇,0.3
369,2026,E13,2,羊肚菌,0.6
370,2026,E14,1,芸豆,0.3
371,2026,E14,2,榆黄菇,0.3
372,2026,E14,2,香菇,0.0
373,2026,E15,2,白灵菇,0.6
374,2026,E15,2,羊肚菌,0.0
375,2026,E16,2,羊肚菌,0.6
376,2026,F1,2,豇豆,0.1
377,2026,F1,2,茄子,0.5
378,2026,F2,2,茄子,0.3
379,2026,F2,2,黄瓜,0.3
380,2026,F3,2,茄子,0.5
381,2026,F3,2,黄瓜,0.1
382,2026,F4,2,黄瓜,0.6
383,2027,A1,1,红豆,6.5
384,2027,A1,1,玉米,72.7
385,2027,A1,1,谷子,0.8
386,2027,A2,1,高粱,47.6
387,2027,A2,1,南瓜,7.4
388,2027,A3,1,小麦,8.8
389,2027,A3,1,玉米,21.9
390,2027,A3,1,南瓜,4.3
391,2027,A4,1,黄豆,23.8
392,2027,A4,1,红豆,24.3
393,2027,A4,1,爬豆,4.8
394,2027,A4,1,大麦,19.0
395,2027,A5,1,黄豆,45.2
396,2027,A5,1,黑豆,22.8
397,2027,A6,1,绿豆,38.0
398,2027,A6,1,谷子,17.0
399,2027,B1,1,黑豆,22.0
400,2027,B1,1,玉米,12.3
401,2027,B1,1,谷子,25.7
402,2027,B2,1,黄豆,31.7
403,2027,B2,1,荞麦,14.3
404,2027,B3,1,绿豆,40.0
405,2027,B3,1,谷子,0.0
406,2027,B4,1,黄豆,9.9
407,2027,B4,1,黍子,2.1
408,2027,B4,1,莜麦,16.0
409,2027,B5,1,谷子,25.0
410,2027,B6,1,小麦,21.7
411,2027,B6,1,谷子,64.3
412,2027,B7,1,小麦,45.1
413,2027,B7,1,谷子,9.9
414,2027,B8,1,小麦,25.0
415,2027,B8,1,莜麦,19.0
416,2027,B9,1,小麦,50.0
417,2027,B10,1,谷子,25.0
418,2027,B11,1,黄豆,18.6
419,2027,B11,1,谷子,18.6
420,2027,B11,1,黍子,22.9
421,2027,B12,1,黄豆,14.3
422,2027,B12,1,小麦,30.7
423,2027,B13,1,绿豆,16.9
424,2027,B13,1,小麦,18.1
425,2027,B14,1,爬豆,2.9
426,2027,B14,1,红薯,17.1
427,2027,C1,1,玉米,15.0
428,2027,C1,1,莜麦,0.0
429,2027,C2,1,红豆,13.0
